observableId	simulationConditionId	measurement	time	observableParameters	noiseParameters
fluorescence	model1_data1	-0.599467180729002	10	background;scale	sigma
fluorescence	model1_data1	-1.04662521345269	30	background;scale	sigma
fluorescence	model1_data1	-0.775558438921265	50	background;scale	sigma
fluorescence	model1_data1	-0.943962870537618	60	background;scale	sigma
fluorescence	model1_data1	-0.880293790147711	70	background;scale	sigma
fluorescence	model1_data1	-0.842505228983587	80	background;scale	sigma
fluorescence	model1_data1	-0.666413970935228	90	background;scale	sigma
fluorescence	model1_data1	-0.353484751862639	100	background;scale	sigma
fluorescence	model1_data1	-0.193332693377138	110	background;scale	sigma
fluorescence	model1_data1	-0.197410605829551	120	background;scale	sigma
fluorescence	model1_data1	-0.197410605829551	130	background;scale	sigma
fluorescence	model1_data1	-0.147169509937529	140	background;scale	sigma
fluorescence	model1_data1	-0.218395097481039	150	background;scale	sigma
fluorescence	model1_data1	-0.240445238411116	160	background;scale	sigma
fluorescence	model1_data1	-0.347655208149644	170	background;scale	sigma
fluorescence	model1_data1	-0.459288477861696	180	background;scale	sigma
fluorescence	model1_data1	-0.444565220915943	190	background;scale	sigma
fluorescence	model1_data1	-0.39020755816672	200	background;scale	sigma
fluorescence	model1_data1	-0.423375921673321	210	background;scale	sigma
fluorescence	model1_data1	-0.451864459718906	220	background;scale	sigma
fluorescence	model1_data1	-0.49844060217775	230	background;scale	sigma
fluorescence	model1_data1	-0.416536497089052	240	background;scale	sigma
fluorescence	model1_data1	-0.490322711879547	250	background;scale	sigma
fluorescence	model1_data1	-0.490322711879547	260	background;scale	sigma
fluorescence	model1_data1	-0.416536497089052	270	background;scale	sigma
fluorescence	model1_data1	-0.150834464054925	280	background;scale	sigma
fluorescence	model1_data1	-0.0495302026682705	290	background;scale	sigma
fluorescence	model1_data1	-0.00787262316344071	300	background;scale	sigma
fluorescence	model1_data1	-0.024059384391067	310	background;scale	sigma
fluorescence	model1_data1	-0.0495302026682705	320	background;scale	sigma
fluorescence	model1_data1	-0.0524547557086096	330	background;scale	sigma
fluorescence	model1_data1	-0.0583636153661208	340	background;scale	sigma
fluorescence	model1_data1	-0.193332693377138	350	background;scale	sigma
fluorescence	model1_data1	-0.162018631103642	360	background;scale	sigma
fluorescence	model1_data1	-0.209879246488792	370	background;scale	sigma
fluorescence	model1_data1	-0.193332693377138	380	background;scale	sigma
fluorescence	model1_data1	-0.278233798819749	390	background;scale	sigma
fluorescence	model1_data1	-0.319626484307643	400	background;scale	sigma
fluorescence	model1_data1	-0.218395097481039	410	background;scale	sigma
fluorescence	model1_data1	-0.13635664056539	420	background;scale	sigma
fluorescence	model1_data1	-0.0643539791036045	430	background;scale	sigma
fluorescence	model1_data1	-0.0524547557086096	440	background;scale	sigma
fluorescence	model1_data1	0	450	background;scale	sigma
fluorescence	model1_data1	-0.0323847727783569	460	background;scale	sigma
fluorescence	model1_data1	-0.0583636153661208	470	background;scale	sigma
fluorescence	model1_data1	-0.0923827024016515	480	background;scale	sigma
fluorescence	model1_data1	-0.150834464054925	490	background;scale	sigma
fluorescence	model1_data1	-0.150834464054925	500	background;scale	sigma
fluorescence	model1_data1	-0.181323785811692	510	background;scale	sigma
fluorescence	model1_data1	-0.197410605829551	520	background;scale	sigma
fluorescence	model1_data1	-0.249588617931357	530	background;scale	sigma
fluorescence	model1_data1	-0.353484751862639	540	background;scale	sigma
fluorescence	model1_data1	-0.459288477861696	550	background;scale	sigma
fluorescence	model1_data1	-0.365383974263925	560	background;scale	sigma
fluorescence	model1_data1	-0.347655208149644	570	background;scale	sigma
fluorescence	model1_data1	-0.283197218389192	580	background;scale	sigma
fluorescence	model1_data1	-0.263675078540142	590	background;scale	sigma
fluorescence	model1_data1	-0.33062186870209	600	background;scale	sigma
