name	time	value	sigma	experiment	changeCa	compound	dose
cellular	35	3.78450181500337	0.293967707574069	exp1	yes	no	0
cellular	40	2.81613120572083	0.224484438752424	exp1	yes	no	0
cellular	50	1.76187574967667	0.13693840662559	exp1	yes	no	0
cellular	60	1.09002973307844	0.085409333499307	exp1	yes	no	0
buffer	35	1.45969695289469	0.110570313017537	exp1	yes	no	0
buffer	40	2.01916114659069	0.170253925345423	exp1	yes	no	0
buffer	50	2.83526972702737	0.245452797403598	exp1	yes	no	0
buffer	60	3.09550340797083	0.289714405647428	exp1	yes	no	0
cellular	35	5.19111113373471	0.366384222036149	exp1	no	no	0
cellular	40	4.03382833901955	0.312691576463661	exp1	no	no	0
cellular	50	2.90870392555456	0.220251844996678	exp1	no	no	0
cellular	60	1.85829344309339	0.152440047652761	exp1	no	no	0
cellular	180	0.604681521476377	0.050963713585849	exp1	no	no	0
buffer	35	0.701340336229143	0.048367148880486	exp1	no	no	0
buffer	40	1.18517876679975	0.09448718752508	exp1	no	no	0
buffer	50	2.13305290350649	0.173889570143713	exp1	no	no	0
buffer	60	2.62871399533503	0.232137448986608	exp1	no	no	0
buffer	180	4.26766462892112	0.319301946075122	exp1	no	no	0
cellular	35	3.89269934419296	0.334147834083157	exp2	yes	no	0
cellular	40	3.3093404213613	0.255167445477308	exp2	yes	no	0
cellular	50	1.96520515518875	0.155655436967377	exp2	yes	no	0
cellular	60	1.33331667591901	0.097083261405809	exp2	yes	no	0
buffer	35	0.526173832009531	0.039348754894212	exp2	yes	no	0
buffer	40	0.764905173228669	0.060588414696195	exp2	yes	no	0
buffer	50	1.12099009872462	0.087349503673749	exp2	yes	no	0
buffer	60	1.23158854783118	0.103100921269301	exp2	yes	no	0
cellular	35	4.11356689640905	0.346400404440449	exp2	yes	Csa	20
cellular	40	3.39238254919945	0.307199468163438	exp2	yes	Csa	20
cellular	50	3.09621424161152	0.268532154453422	exp2	yes	Csa	20
cellular	60	3.48870709229695	0.236394143439861	exp2	yes	Csa	20
buffer	35	0.852453814663093	0.032515981215824	exp2	yes	Csa	20
buffer	40	1.20550837243367	0.043058022919342	exp2	yes	Csa	20
buffer	50	1.61715966254129	0.05345656112806	exp2	yes	Csa	20
buffer	60	1.70769451234023	0.062099218282444	exp2	yes	Csa	20
cellular	35	4.76960285973383	0.348044608427967	exp2	yes	Csa	50
cellular	40	4.0083521105548	0.317470854028861	exp2	yes	Csa	50
cellular	50	3.69702750203617	0.291425237476249	exp2	yes	Csa	50
cellular	60	3.67471010903862	0.269328070125132	exp2	yes	Csa	50
buffer	35	0.77162922421042	0.029359436817602	exp2	yes	Csa	50
buffer	40	1.14761121453666	0.037581429058575	exp2	yes	Csa	50
buffer	50	1.27928232112086	0.04458569992474	exp2	yes	Csa	50
buffer	60	1.31348048941855	0.050528141148567	exp2	yes	Csa	50
cellular	35	3.50755494422501	0.33421910133433	exp2	yes	Cpz	20
cellular	40	2.91117724506402	0.256884978913055	exp2	yes	Cpz	20
cellular	50	1.81715717955219	0.163299063887004	exp2	yes	Cpz	20
cellular	60	1.18188061244458	0.108977784978516	exp2	yes	Cpz	20
buffer	35	1.37217327992049	0.039306457391064	exp2	yes	Cpz	20
buffer	40	2.20041906496375	0.060103398002609	exp2	yes	Cpz	20
buffer	50	3.07279843169051	0.085270822884885	exp2	yes	Cpz	20
buffer	60	3.75348154829383	0.099879075697906	exp2	yes	Cpz	20
cellular	35	3.87746780708129	0.334314502394164	exp2	yes	Cpz	50
cellular	40	3.26219788846334	0.259369017187602	exp2	yes	Cpz	50
cellular	50	2.20886757133588	0.174239009231856	exp2	yes	Cpz	50
cellular	60	1.61847927737661	0.126655658993046	exp2	yes	Cpz	50
buffer	35	1.36530570254696	0.039246338854322	exp2	yes	Cpz	50
buffer	40	2.10965664577162	0.05940091947339	exp2	yes	Cpz	50
buffer	50	2.96564731734782	0.082294354664543	exp2	yes	Cpz	50
buffer	60	3.68649148620544	0.095090622056371	exp2	yes	Cpz	50
cellular	35	4.41412083015382	0.414611962592362	exp2	no	Csa	20
cellular	40	4.89851538317728	0.376017620810272	exp2	no	Csa	20
cellular	50	4.26735247332171	0.320555272037121	exp2	no	Csa	20
cellular	60	3.61462217023132	0.279712609394615	exp2	no	Csa	20
cellular	180	0.899821577589096	0.052503995639779	exp2	no	Csa	20
buffer	35	0.339227424906345	0.014172309890782	exp2	no	Csa	20
buffer	40	0.543086264525763	0.024551224254244	exp2	no	Csa	20
buffer	50	0.878953973571767	0.039466337240576	exp2	no	Csa	20
buffer	60	1.25264779419269	0.0504498772718	exp2	no	Csa	20
buffer	180	3.9794399179348	0.111551547514473	exp2	no	Csa	20
cellular	35	4.7058058521215	0.416103521146615	exp2	no	Cpz	20
cellular	40	3.80191132361652	0.354620395975867	exp2	no	Cpz	20
cellular	50	3.09882145868864	0.250067157195048	exp2	no	Cpz	20
cellular	60	1.60782494492235	0.174741908412881	exp2	no	Cpz	20
cellular	180	0.072667836357661	0.044054484039353	exp2	no	Cpz	20
buffer	35	0.692154987188756	0.017285836188819	exp2	no	Cpz	20
buffer	40	1.26377100294441	0.033820075703725	exp2	no	Cpz	20
buffer	50	2.20779435986634	0.061936868518993	exp2	no	Cpz	20
