time,value,sigma,name,condition,n
0,6.69746,0.34759,obcar,betacar,3
15,3.83496,0.01945,obcar,betacar,3
30,2.68932,0.23091,obcar,betacar,3
45,2.12541,0.19042,obcar,betacar,3
60,1.55414,0.15523,obcar,betacar,3
90,0.90185,0.07490,obcar,betacar,3
120,0.62496,0.05726,obcar,betacar,3
180,0.30276,0.02179,obcar,betacar,3
15,0.87947,0.05518,ob10,betacar,3
30,1.61775,0.34282,ob10,betacar,3
45,2.02210,0.33446,ob10,betacar,3
60,2.51711,0.19542,ob10,betacar,3
90,2.24951,0.17667,ob10,betacar,3
120,2.46923,0.16144,ob10,betacar,3
180,2.09599,0.12383,ob10,betacar,3
0,5.931335,0.399710,obcry,betacry,3
15,4.804181,0.052231,obcry,betacry,3
30,3.874252,0.459762,obcry,betacry,3
45,3.687507,0.053267,obcry,betacry,3
60,2.905136,0.178488,obcry,betacry,3
90,2.471236,0.071513,obcry,betacry,3
120,2.243992,0.183566,obcry,betacry,3
180,0.922679,0.006063,obcry,betacry,3
15,0.186897,0.048413,ob10,betacry,3
30,0.238582,0.032112,ob10,betacry,3
45,0.268357,0.027466,ob10,betacry,3
60,0.377915,0.028256,ob10,betacry,3
90,0.332696,0.030808,ob10,betacry,3
120,0.410503,0.072428,ob10,betacry,3
180,0.487949,0.004787,ob10,betacry,3
15,0.750567,0.174447,oohb10,betacry,3
30,0.957066,0.095172,oohb10,betacry,3
45,1.058638,0.203344,oohb10,betacry,3
60,1.400610,0.164913,oohb10,betacry,3
90,1.342636,0.099825,oohb10,betacry,3
120,1.652208,0.279973,oohb10,betacry,3
180,2.005941,0.016792,oohb10,betacry,3
0,3.019509308,0.169880724,oohb10,ohb10,4
5,2.1872188131,0.0533650308,oohb10,ohb10,4
15,1.4901762808,0.2238153258,oohb10,ohb10,4
30,1.2438194294,0.1439696866,oohb10,ohb10,4
60,1.1006794056,0.0396603807,oohb10,ohb10,4
90,1.1423163106,0.1342373977,oohb10,ohb10,4
120,0.7946213488,0.1607827739,oohb10,ohb10,4
180,0.6966209574,0.113804138,oohb10,ohb10,4
0,6.4986171652,0.3336518484,ob10,b10,4
5,3.9733850179,0.226676053,ob10,b10,4
15,3.976117746,0.2100079739,ob10,b10,4
30,3.1295901769,0.1916350923,ob10,b10,4
60,3.1314183228,0.1397865715,ob10,b10,4
90,3.1055434521,0.152046604,ob10,b10,4
120,2.2797016348,0.1209786342,ob10,b10,4
180,1.3216134908,0.0553328732,ob10,b10,4
0,3.994,0.0549,obcar,betacar_zea,4
15,2.792,0.0193,obcar,betacar_zea,4
30,2.510,0.0237,obcar,betacar_zea,4
45,2.101,0.0111,obcar,betacar_zea,4
60,1.917,0.0529,obcar,betacar_zea,4
90,1.598,0.0852,obcar,betacar_zea,4
120,1.135,0.0253,obcar,betacar_zea,4
180,0.824,0.0126,obcar,betacar_zea,4
15,0.573,0.0266,ob10,betacar_zea,4
30,0.849,0.0251,ob10,betacar_zea,4
45,0.968,0.0223,ob10,betacar_zea,4
60,1.212,0.0175,ob10,betacar_zea,4
90,1.411,0.0503,ob10,betacar_zea,4
120,1.612,0.0544,ob10,betacar_zea,4
180,2.168,0.0151,ob10,betacar_zea,4
0,3.207,0.0423,ozea,zea,4
15,2.7610,0.291276884,ozea,zea,4
30,2.930,0.0197,ozea,zea,4
45,2.842,0.0494,ozea,zea,4
60,2.763,0.0089,ozea,zea,4
90,2.581,0.0368,ozea,zea,4
120,2.449,0.0331,ozea,zea,4
180,2.128,0.0366,ozea,zea,4
15,0.098,0.0220,oohb10,zea,4
30,0.1573,0.0154,oohb10,zea,4
45,0.165,0.0054,oohb10,zea,4
60,0.230,0.0142,oohb10,zea,4
90,0.374,0.0062,oohb10,zea,4
120,0.445,0.0243,oohb10,zea,4
180,0.460,0.0335,oohb10,zea,3
