time,value,sigma,name,global,n,condition
0,2.23,0.206452422163598,op,con_p,1,p_4.46
0,2.505,0.219861615819583,op,con_p,1,p_5.01
0,4.42,0.326433133194129,op,con_p,1,p_8.84
0,5.265,0.377474278985564,op,con_p,1,p_10.83
0,5.855,0.413871652413883,op,con_p,1,p_11.71
0,7.45,0.514252135590591,op,con_p,1,p_14.90
0,7.78,0.535275374983323,op,con_p,1,p_15.56
0,10.935,0.738742113994331,op,con_p,1,p_21.87
0,12.435,0.83644289191791,op,con_p,1,p_24.87
0,12.83,0.862234891366415,op,con_p,1,p_25.66
0,14.83,0.993132544724804,op,con_p,1,p_29.66
0,18.865,1.25825054724355,op,con_p,1,p_37.73
10,2.045,0.0884878982187032,op,con_p,5,p_4.46
10,1.675,0.0742831683218899,op,con_p,6,p_5.01
10,3.845,0.130915956889185,op,con_p,5,p_8.84
10,3.305,0.107039369342861,op,con_p,6,p_10.83
10,5.12,0.164849039858484,op,con_p,5,p_11.71
10,4.985,0.147132079692044,op,con_p,6,p_14.90
10,7.05,0.218628622876513,op,con_p,5,p_15.56
10,6.93,0.196480471316278,op,con_p,6,p_21.87
10,8.185,0.229094480398231,op,con_p,6,p_24.87
10,11.665,0.453934154212417,op,con_p,3,p_25.66
10,9.85,0.27286577779952,op,con_p,6,p_29.66
10,12.88,0.353339437627087,op,con_p,6,p_37.73
10,0.125,0.00835734789429274,opf,con_p,7,p_4.46
10,0.22,0.0129759397271195,opf,con_p,6,p_5.01
10,0.53,0.025935345186083,opf,con_p,7,p_8.84
10,0.705,0.0368471436397289,opf,con_p,6,p_10.83
10,0.75,0.0362289257604425,opf,con_p,7,p_11.71
10,0.955,0.049577280033368,opf,con_p,6,p_14.90
10,1.05,0.0503944686811356,opf,con_p,7,p_15.56
10,2.065,0.106512106395599,opf,con_p,6,p_21.87
10,2.51,0.129391186481903,opf,con_p,6,p_24.87
10,2.25,0.142097394234574,opf,con_p,4,p_25.66
10,2.815,0.145078429654654,opf,con_p,6,p_29.66
10,3.645,0.187782497292146,opf,con_p,6,p_37.73
10,0.22,0.0130714764330398,oz,con_p,7,p_4.46
10,0.42,0.0269540878403669,oz,con_p,6,p_5.01
10,0.445,0.0264400312878038,oz,con_p,7,p_8.84
10,1.085,0.0696313931094597,oz,con_p,6,p_10.83
10,0.8,0.0475326402812146,oz,con_p,7,p_11.71
10,1.29,0.0827875549118848,oz,con_p,6,p_14.90
10,1.02,0.0606041163066233,oz,con_p,7,p_15.56
10,1.925,0.123539568317987,oz,con_p,6,p_21.87
10,1.99,0.127711034258036,oz,con_p,6,p_24.87
10,1.83,0.143837479726325,oz,con_p,4,p_25.66
10,1.94,0.124502214304143,oz,con_p,6,p_29.66
10,1.9,0.121935158341073,oz,con_p,6,p_37.73
0,5.245,0.152425426250702,op,pds,2,pds_10
0,5.195,0.150972371663481,op,pds,2,pds_25
0,5.41,0.157220506388564,op,pds,2,pds_50
5,4.555,0.132373272947525,op,pds,2,pds_10
5,3.895,0.11319295239794,op,pds,2,pds_25
5,3.1,0.0900893844660221,op,pds,2,pds_50
10,4.38,0.127287581892565,op,pds,2,pds_10
10,3.59,0.104329319417309,op,pds,2,pds_25
10,2.69,0.0781743368553676,op,pds,2,pds_50
20,4.31,0.125253305470607,op,pds,2,pds_10
20,3.425,0.0995342392804633,op,pds,2,pds_25
20,2.495,0.0725074239681312,op,pds,2,pds_50
45,4.435,0.128885941938399,op,pds,2,pds_10
45,3.48,0.10113259932606,op,pds,2,pds_25
45,2.485,0.0722168130508534,op,pds,2,pds_50
5,0.49482488565,0.0209264462043931,opf,pds,2,pds_10
5,0.91744674105,0.0342521832469689,opf,pds,2,pds_25
5,1.0053740361,0.0371684728246065,opf,pds,2,pds_50
10,0.5701990014,0.0231691814680631,opf,pds,2,pds_10
10,0.95926690155,0.0356356667595728,opf,pds,2,pds_25
10,0.9228903101,0.0344318704500434,opf,pds,2,pds_50
20,0.5984805066,0.0240318392031145,opf,pds,2,pds_10
20,0.95625914345,0.0355359389767046,opf,pds,2,pds_25
20,0.87329711335,0.032799596193432,opf,pds,2,pds_50
45,0.62255128195,0.0247737294046876,opf,pds,2,pds_10
45,0.9608570612,0.035688405023596,opf,pds,2,pds_25
45,0.86473014605,0.0325187682281617,opf,pds,2,pds_50
5,0.405,0.0262685167831743,oz,pds,2,pds_10
5,1.095,0.0710222746564638,oz,pds,2,pds_25
5,2.065,0.13393698125071,oz,pds,2,pds_50
10,0.555,0.0359975939271857,oz,pds,2,pds_10
10,1.455,0.0943720625380708,oz,pds,2,pds_25
10,2.59,0.167988755704863,oz,pds,2,pds_50
20,0.635,0.0411864353270493,oz,pds,2,pds_10
20,1.62,0.105074048717225,oz,pds,2,pds_25
20,2.81,0.182258070735913,oz,pds,2,pds_50
45,0.665,0.043132250880003,oz,pds,2,pds_10
45,1.665,0.10799277222542,oz,pds,2,pds_25
45,2.88,0.186798307338628,oz,pds,2,pds_50
0,3.685,0.193380701458664,opf,pfl_standard,2,pfl_standard
1,2.925,0.193380701165723,opf,pfl_standard,2,pfl_standard
2,2.66,0.193380701079418,opf,pfl_standard,2,pfl_standard
3,2.385,0.193380700998516,opf,pfl_standard,2,pfl_standard
4,2.21,0.193380700951625,opf,pfl_standard,2,pfl_standard
6,2.005,0.193380700901238,opf,pfl_standard,2,pfl_standard
8,1.92,0.193380700881783,opf,pfl_standard,2,pfl_standard
10,1.855,0.193380700867475,opf,pfl_standard,2,pfl_standard
15,1.85,0.193380700866395,opf,pfl_standard,2,pfl_standard
20,1.79,0.193380700853659,opf,pfl_standard,2,pfl_standard
30,1.805,0.193380700856804,opf,pfl_standard,2,pfl_standard
45,1.79,0.193380700853659,opf,pfl_standard,2,pfl_standard
60,1.84,0.193380700864243,opf,pfl_standard,2,pfl_standard
90,1.82,0.193380700859974,opf,pfl_standard,2,pfl_standard
1,0.425,0.0476061678878956,oz,pfl_standard,2,pfl_standard
2,0.705,0.063920978278533,oz,pfl_standard,2,pfl_standard
3,0.86,0.0740329991856704,oz,pfl_standard,2,pfl_standard
4,0.98,0.0821623722496096,oz,pfl_standard,2,pfl_standard
6,1.115,0.0915265944344831,oz,pfl_standard,2,pfl_standard
8,1.215,0.0985750848427246,oz,pfl_standard,2,pfl_standard
10,1.245,0.100704787975672,oz,pfl_standard,2,pfl_standard
15,1.335,0.107129751080855,oz,pfl_standard,2,pfl_standard
20,1.325,0.10641340626506,oz,pfl_standard,2,pfl_standard
30,1.345,0.107846670114324,oz,pfl_standard,2,pfl_standard
45,1.335,0.107129751080855,oz,pfl_standard,2,pfl_standard
60,1.355,0.108564151989681,oz,pfl_standard,2,pfl_standard
90,1.34,0.107488139538268,oz,pfl_standard,2,pfl_standard
0,3.91,0.264596721835498,op,standard,2,standard
1,3.84,0.259859696353706,op,standard,2,standard
2,3.46,0.234144415248341,op,standard,2,standard
3,3.12,0.211136005984504,op,standard,2,standard
4,2.7,0.18271385363564,op,standard,2,standard
5,2.34,0.158352009117912,op,standard,2,standard
6,2.28,0.154291701741608,op,standard,2,standard
7,2.18,0.147524522815165,op,standard,2,standard
8,2.05,0.138727190283449,op,standard,2,standard
9,1.84,0.124516114870297,op,standard,2,standard
10,1.86,0.125869550610519,op,standard,2,standard
20,1.43,0.0967706830877336,op,standard,2,standard
30,1.34,0.0906802227685671,op,standard,2,standard
60,1.12,0.0757924316641364,op,standard,2,standard
0,0,4.0560230398699e-05,opf,standard,2,standard
1,0.3,0.0193902894184166,opf,standard,2,standard
2,0.61,0.0394268564232975,opf,standard,2,standard
3,0.8,0.0731252232459139,opf,standard,1,standard
4,0.87,0.0562317309189276,opf,standard,2,standard
5,0.84,0.0542927067416795,opf,standard,2,standard
6,0.89,0.0575244137233265,opf,standard,2,standard
7,0.88,0.0568780723192593,opf,standard,2,standard
8,0.85,0.054939048129998,opf,standard,2,standard
9,0.79,0.0510609998677737,opf,standard,2,standard
10,0.8,0.0517073412329659,opf,standard,2,standard
20,0.65,0.0420122214056578,opf,standard,2,standard
30,0.62,0.0400731976533567,opf,standard,2,standard
60,0.52,0.03360978593517,opf,standard,2,standard
0,0,0.0230567084327702,oz,standard,2,standard
1,0.06,0.0230971185193592,oz,standard,2,standard
2,0.25,0.0237485087396473,oz,standard,2,standard
3,0.49,0.0256125416109438,oz,standard,2,standard
4,0.77,0.0289617012939573,oz,standard,2,standard
5,0.99,0.0322394148959897,oz,standard,2,standard
6,1.25,0.0366211468121499,oz,standard,2,standard
7,1.49,0.0410097106393819,oz,standard,2,standard
8,1.59,0.0429111213389145,oz,standard,2,standard
9,1.74,0.0458273303224273,oz,standard,2,standard
10,1.85,0.0480076362120876,oz,standard,2,standard
20,2.38,0.0588745428353295,oz,standard,2,standard
30,2.51,0.0616080665396281,oz,standard,2,standard
60,2.65,0.0645740913851986,oz,standard,2,standard
0,6.4983450883,0.267072821071733,op,pds,1,standard_nP
1,5.8267592766,0.239471591090258,op,pds,1,standard_nP
2,5.5178483652,0.226775788170343,op,pds,1,standard_nP
4,5.00728695815,0.205792434190087,op,pds,1,standard_nP
6,4.4753125384,0.183929035579291,op,pds,1,standard_nP
8,4.2493492891,0.174642264623317,op,pds,1,standard_nP
10,3.9855128964,0.163798960872052,op,pds,1,standard_nP
20,3.45641506865,0.142053786139491,op,pds,1,standard_nP
30,2.34059752565,0.0961952583513842,op,pds,1,standard_nP
32,2.30694269,0.0948120920576611,op,pds,1,standard_nP
34,2.2074624354,0.0907235938555713,op,pds,1,standard_nP
36,2.2313123151,0.0917037902841249,op,pds,1,standard_nP
38,2.15487178475,0.0885621922640683,op,pds,1,standard_nP
40,2.2152442815,0.0910434167582722,op,pds,1,standard_nP
50,2.1153603383,0.0869383275242237,op,pds,1,standard_nP
60,2.2028230927,0.0905329234118406,op,pds,1,standard_nP
32,2.29720280945,0.0944117966997655,op,pds,1,pds_nP
34,2.15076313635,0.0883933326078233,op,pds,1,pds_nP
36,1.9421278652,0.0798187171301052,op,pds,1,pds_nP
38,1.76311446895,0.0724615189470182,op,pds,1,pds_nP
40,1.6805555453,0.0690684635909812,op,pds,1,pds_nP
50,1.6509251449,0.067850695912779,op,pds,1,pds_nP
60,1.4094257288,0.057925410423301,op,pds,1,pds_nP
0,6.4983450883,0.267072821071733,op,pds,1,pds_nP
1,5.8267592766,0.239471591090258,op,pds,1,pds_nP
2,5.5178483652,0.226775788170343,op,pds,1,pds_nP
4,5.00728695815,0.205792434190087,op,pds,1,pds_nP
6,4.4753125384,0.183929035579291,op,pds,1,pds_nP
8,4.2493492891,0.174642264623317,op,pds,1,pds_nP
10,3.9855128964,0.163798960872052,op,pds,1,pds_nP
20,3.45641506865,0.142053786139491,op,pds,1,pds_nP
30,2.34059752565,0.0961952583513842,op,pds,1,pds_nP
1,0.68,0.0375745692676907,opf,pds,1,standard_nP
