time,value,sigma,name,global,n,condition
0,5.024,0.123357012303668,opf,parallel_WT,3,pfl_par
2,3.676,0.0905389225544198,opf,parallel_WT,3,pfl_par
4.5,3.112,0.0768489137873425,opf,parallel_WT,3,pfl_par
7.5,2.654,0.065765227940294,opf,parallel_WT,3,pfl_par
10,2.402,0.059686133186861,opf,parallel_WT,3,pfl_par
30,1.944,0.0486931486961774,opf,parallel_WT,3,pfl_par
60,1.946,0.048740942912047,opf,parallel_WT,3,pfl_par
2,0.832,0.0243532478440272,oz,parallel_WT,3,pfl_par
4.5,1.323,0.0373348832037349,oz,parallel_WT,3,pfl_par
7.5,1.546,0.0433371418336269,oz,parallel_WT,3,pfl_par
10,1.671,0.0467167086650628,oz,parallel_WT,3,pfl_par
30,1.981,0.0551296741238566,oz,parallel_WT,3,pfl_par
60,1.958,0.0545042550965817,oz,parallel_WT,3,pfl_par
0,1.208,0.0143545532161084,op,parallel_WT,2,standard_par
2,1.023,0.0171914843826757,op,parallel_WT,1,standard_par
4.5,0.912,0.0153261327087821,op,parallel_WT,1,standard_par
7.5,0.832,0.00807235852737487,op,parallel_WT,3,standard_par
10,0.812,0.00787831144798901,op,parallel_WT,3,standard_par
30,0.787,0.00763575259877836,op,parallel_WT,3,standard_par
60,0.778,0.00754843141306882,op,parallel_WT,3,standard_par
2,0.147,0.0191250554011744,opf,parallel_WT,1,standard_par
4.5,0.175,0.0195437344808077,opf,parallel_WT,1,standard_par
7.5,0.18,0.0113305616522944,opf,parallel_WT,3,standard_par
10,0.178,0.0113116338072667,opf,parallel_WT,3,standard_par
30,0.175,0.0112835803634649,opf,parallel_WT,3,standard_par
60,0.17,0.0112377343006379,opf,parallel_WT,3,standard_par
2,0.128,0.0156441763172086,oz,parallel_WT,1,standard_par
4.5,0.247,0.0186027358714631,oz,parallel_WT,1,standard_par
7.5,0.315,0.0120115445804911,oz,parallel_WT,3,standard_par
10,0.349,0.0127028953886274,oz,parallel_WT,3,standard_par
30,0.372,0.0131876524157351,oz,parallel_WT,3,standard_par
60,0.36,0.012933140438909,oz,parallel_WT,3,standard_par
0,3.65,0.0354135920460596,op,parallel_WT,3,standard_parh
2,3.136,0.0304265820985106,op,parallel_WT,3,standard_parh
4.5,2.833,0.0274867688415707,op,parallel_WT,3,standard_parh
7.5,2.608,0.0253037391953806,op,parallel_WT,3,standard_parh
10,2.514,0.0243917179209889,op,parallel_WT,3,standard_parh
30,2.435,0.0236252319563493,op,parallel_WT,3,standard_parh
60,2.399,0.0232759472129721,op,parallel_WT,3,standard_parh
2,0.467,0.0154766720454979,opf,parallel_WT,3,standard_parh
4.5,0.519,0.0164382686070663,opf,parallel_WT,3,standard_parh
7.5,0.534,0.0167233641378411,opf,parallel_WT,3,standard_parh
10,0.527,0.0165899190254129,opf,parallel_WT,3,standard_parh
30,0.496,0.0160076020684812,opf,parallel_WT,3,standard_parh
60,0.489,0.0158781693638708,opf,parallel_WT,3,standard_parh
2,0.36,0.012933140438909,oz,parallel_WT,3,standard_parh
4.5,0.634,0.0193234357846596,oz,parallel_WT,3,standard_parh
7.5,0.876,0.0254942833050697,oz,parallel_WT,3,standard_parh
10,0.993,0.0285562297782749,oz,parallel_WT,3,standard_parh
30,1.069,0.0305624552492828,oz,parallel_WT,3,standard_parh
60,1.072,0.0306418803887492,oz,parallel_WT,3,standard_parh
0,4.62,0.11351150947284,opf,parallel_WT,3,pfl_parB
3,4.32,0.106205125033315,opf,parallel_WT,3,pfl_parB
5,4.23,0.104014122746924,opf,parallel_WT,3,pfl_parB
7,4.21,0.10352729609613,opf,parallel_WT,3,pfl_parB
10,4.14,0.101823590232368,opf,parallel_WT,3,pfl_parB
60,3.6,0.0886922090707956,opf,parallel_WT,3,pfl_parB
30,3.4,0.0838351113315518,opf,parallel_WT,3,pfl_parB
3,0.18,0.00967995778511481,oz,parallel_WT,3,pfl_parB
5,0.28,0.0113364931277456,oz,parallel_WT,3,pfl_parB
7,0.37,0.0131450002053086,oz,parallel_WT,3,pfl_parB
10,0.38,0.0133591656381136,oz,parallel_WT,3,pfl_parB
60,0.58,0.0179938871831729,oz,parallel_WT,3,pfl_parB
30,0.72,0.021483116095583,oz,parallel_WT,3,pfl_parB
0,3.49,0.0338612154086757,op,parallel_WT,3,standard_parB
3,3.421,0.0331917529838077,op,parallel_WT,3,standard_parB
5,3.346,0.0324640764350408,op,parallel_WT,3,standard_parB
7,3.32,0.032211815231469,op,parallel_WT,3,standard_parB
10,3.26,0.0316296739924586,op,parallel_WT,3,standard_parB
30,3.25,0.0315326504526237,op,parallel_WT,3,standard_parB
60,3.212,0.0311639610012518,op,parallel_WT,3,standard_parB
3,0.117,0.0108250633786978,opf,parallel_WT,3,standard_parB
5,0.203,0.0115608965991559,opf,parallel_WT,3,standard_parB
7,0.221,0.0117568077941705,opf,parallel_WT,3,standard_parB
10,0.285,0.0125541328503864,opf,parallel_WT,3,standard_parB
30,0.297,0.0127195355645073,opf,parallel_WT,3,standard_parB
60,0.322,0.0130785809440264,opf,parallel_WT,3,standard_parB
3,0.013,0.00832514115078634,oz,parallel_WT,3,standard_parB
5,0.036,0.00837621216759131,oz,parallel_WT,3,standard_parB
7,0.049,0.00842598569678683,oz,parallel_WT,3,standard_parB
10,0.073,0.00855647434233416,oz,parallel_WT,3,standard_parB
30,0.082,0.00861794874287004,oz,parallel_WT,3,standard_parB
60,0.097,0.00873505279869987,oz,parallel_WT,3,standard_parB
